iter	Passed	Remaining
421	1898	2600
422	1900	2592
423	1904	2586
424	1906	2579
425	1908	2571
426	1910	2563
427	1924	2572
428	1926	2564
429	1928	2556
430	1936	2556
431	1938	2548
432	1944	2546
433	1953	2548
434	1955	2540
435	1957	2532
436	1959	2524
437	1967	2523
438	1969	2516
439	1985	2526
440	1987	2518
441	1989	2511
442	1999	2514
443	2002	2507
444	2004	2499
445	2013	2500
446	2015	2493
447	2046	2522
448	2048	2514
449	2050	2506
450	2060	2508
451	2062	2500
452	2065	2494
453	2072	2492
454	2074	2484
455	2076	2477
456	2078	2469
457	2080	2462
458	2093	2467
459	2154	2528
460	2156	2521
461	2158	2513
462	2160	2505
463	2162	2497
464	2168	2494
465	2174	2491
466	2177	2485
467	2179	2477
468	2186	2475
469	2188	2468
470	2190	2460
471	2192	2452
472	2259	2517
473	2261	2510
474	2269	2508
475	2275	2504
476	2277	2497
477	2285	2495
478	2287	2488
479	2289	2480
480	2291	2472
481	2300	2471
482	2302	2464
483	2304	2457
484	2313	2456
485	2315	2448
486	2316	2440
487	2319	2434
488	2321	2426
489	2323	2418
490	2326	2411
491	2328	2404
492	2330	2396
493	2336	2392
494	2349	2397
495	2351	2389
496	2360	2388
497	2361	2380
498	2363	2373
499	2365	2365
500	2393	2384
501	2395	2376
502	2398	2369
503	2410	2372
504	2412	2364
505	2414	2357
506	2426	2359
507	2428	2352
508	2431	2345
509	2441	2345
510	2442	2337
511	2458	2343
512	2460	2336
513	2462	2328
514	2472	2328
515	2474	2321
516	2476	2313
517	2478	2306
518	2479	2298
519	2488	2297
520	2490	2289
521	2492	2282
522	2493	2274
523	2495	2266
524	2504	2266
525	2506	2258
526	2507	2250
527	2509	2243
528	2517	2241
529	2520	2235
530	2522	2228
531	2524	2220
532	2542	2227
533	2556	2230
534	2574	2237
535	2583	2236
536	2586	2230
537	2588	2222
538	2591	2216
539	2602	2216
540	2604	2209
541	2606	2202
542	2616	2201
543	2619	2195
544	2620	2188
545	2623	2181
546	2634	2181
547	2636	2174
548	2637	2166
549	2647	2165
550	2649	2159
551	2651	2151
552	2653	2144
553	2663	2144
554	2665	2137
555	2667	2129
556	2669	2123
557	2671	2115
558	2683	2117
559	2685	2110
560	2694	2108
561	2696	2101
562	2700	2095
563	2702	2088
564	2711	2087
565	2712	2080
566	2714	2073
567	2716	2065
568	2717	2058
569	2730	2059
570	2731	2052
571	2734	2045
572	2737	2039
573	2738	2032
574	2742	2026
575	2743	2019
576	2754	2018
577	2755	2011
578	2757	2004
579	2759	1997
580	2769	1996
581	2770	1989
582	2772	1983
583	2774	1976
584	2785	1976
585	2787	1969
586	2789	1962
587	2802	1963
588	2804	1956
589	2819	1959
590	2821	1952
591	2822	1945
592	2832	1943
593	2833	1937
594	2835	1930
595	2837	1923
596	2839	1916
597	2849	1915
598	2851	1908
599	2852	1901
600	2864	1901
601	2866	1895
602	2868	1888
603	2869	1881
604	2871	1874
605	2873	1868
606	2874	1861
607	2876	1854
608	2881	1849
609	2882	1843
610	2884	1836
611	2886	1829
612	2888	1823
613	2898	1822
614	2900	1815
615	2902	1809
616	2904	1802
617	2906	1796
618	2908	1790
619	2910	1783
620	2911	1777
621	2920	1775
622	2923	1768
623	2924	1762
624	2926	1755
625	2928	1749
626	2938	1748
627	2939	1741
628	2941	1735
629	2943	1728
630	2952	1726
631	2954	1720
632	2955	1713
633	2957	1707
634	2959	1700
635	2967	1698
636	2969	1692
637	2970	1685
638	2972	1679
639	2974	1672
640	2984	1671
641	2985	1665
642	2987	1658
643	2989	1652
644	3000	1651
645	3001	1644
646	3003	1638
647	3005	1632
648	3006	1626
649	3009	1620
650	3011	1614
651	3012	1608
652	3014	1601
653	3024	1599
654	3025	1593
655	3027	1587
656	3029	1581
657	3030	1575
658	3041	1573
659	3042	1567
660	3044	1561
661	3053	1558
662	3055	1553
663	3057	1547
664	3059	1541
665	3060	1534
666	3069	1532
667	3073	1527
668	3074	1521
669	3077	1515
670	3085	1513
671	3087	1506
672	3089	1500
673	3090	1494
674	3092	1488
675	3100	1485
676	3102	1480
677	3103	1474
678	3105	1468
679	3107	1462
680	3108	1456
681	3115	1452
682	3117	1447
683	3119	1441
684	3121	1435
685	3124	1430
686	3132	1427
687	3134	1421
688	3135	1415
689	3137	1409
690	3139	1403
691	3146	1400
692	3148	1394
693	3153	1390
694	3156	1385
695	3163	1381
696	3164	1375
697	3166	1369
698	3167	1364
699	3169	1358
700	3171	1352
701	3176	1348
702	3178	1342
703	3180	1337
704	3182	1331
705	3184	1326
706	3186	1320
707	3191	1316
708	3193	1310
709	3195	1305
710	3196	1299
711	3198	1293
712	3200	1288
713	3201	1282
714	3206	1278
715	3208	1272
716	3210	1267
717	3211	1261
718	3213	1255
719	3215	1250
720	3216	1244
721	3222	1240
722	3224	1235
723	3226	1229
724	3227	1224
725	3229	1218
726	3230	1213
727	3232	1207
728	3238	1203
729	3240	1198
730	3241	1192
731	3243	1187
732	3244	1181
733	3246	1176
734	3247	1170
735	3255	1167
736	3257	1162
737	3259	1157
738	3262	1152
739	3263	1146
740	3271	1143
741	3273	1138
742	3274	1132
743	3276	1127
744	3278	1122
745	3279	1116
746	3286	1112
747	3287	1107
748	3289	1102
749	3291	1097
750	3292	1091
751	3294	1086
752	3299	1082
753	3301	1077
754	3303	1071
755	3305	1066
756	3307	1061
757	3308	1056
758	3314	1052
759	3315	1047
760	3317	1041
761	3319	1036
762	3320	1031
763	3322	1026
764	3323	1021
765	3325	1015
766	3328	1011
767	3329	1005
768	3331	1000
769	3333	995
770	3334	990
771	3336	985
772	3342	981
773	3344	976
774	3346	971
775	3348	966
776	3350	961
777	3351	956
778	3356	952
779	3359	947
780	3361	942
781	3363	937
782	3364	932
783	3366	927
784	3368	922
785	3373	918
786	3375	913
787	3376	908
788	3378	903
789	3380	898
790	3381	893
791	3383	888
792	3388	884
793	3390	879
794	3392	874
795	3393	869
796	3395	864
797	3397	859
798	3398	854
799	3404	851
800	3406	846
801	3407	841
802	3409	836
803	3410	831
804	3412	826
805	3414	821
806	3421	818
807	3423	813
808	3425	808
809	3426	803
810	3428	799
811	3438	796
812	3440	791
813	3442	786
814	3444	781
815	3448	777
816	3451	773
817	3453	768
818	3454	763
819	3456	758
820	3458	753
821	3459	749
822	3461	744
823	3463	739
824	3464	734
825	3466	730
826	3467	725
827	3469	720
828	3471	715
829	3472	711
830	3477	707
831	3479	702
832	3480	697
833	3482	693
834	3483	688
835	3485	683
836	3487	679
837	3493	675
838	3494	670
839	3496	665
840	3497	661
841	3499	656
842	3500	651
843	3510	648
844	3512	644
845	3514	639
846	3515	635
847	3517	630
848	3519	625
849	3520	621
850	3522	616
851	3524	612
852	3525	607
853	3527	603
854	3529	598
855	3533	594
856	3536	590
857	3537	585
858	3539	580
859	3540	576
860	3542	571
861	3548	568
862	3550	563
863	3552	559
864	3553	554
865	3555	550
866	3556	545
867	3558	541
868	3562	537
869	3564	532
870	3566	528
871	3568	523
872	3569	519
873	3571	514
874	3572	510
875	3578	506
876	3580	502
877	3581	497
878	3583	493
879	3584	488
880	3586	484
881	3587	479
882	3589	475
883	3591	471
884	3593	466
885	3594	462
886	3596	458
887	3597	453
888	3599	449
889	3600	445
890	3606	441
891	3608	436
892	3610	432
893	3611	428
894	3613	423
895	3615	419
896	3616	415
897	3622	411
898	3624	407
899	3626	402
900	3628	398
901	3630	394
902	3632	390
903	3634	385
904	3635	381
905	3637	377
906	3639	373
907	3640	368
908	3642	364
909	3646	360
910	3648	356
911	3650	352
912	3652	348
913	3653	343
914	3655	339
915	3656	335
916	3657	331
917	3664	327
918	3665	323
919	3667	318
920	3668	314
921	3670	310
922	3672	306
923	3673	302
924	3679	298
925	3680	294
926	3682	289
927	3683	285
928	3685	281
929	3686	277
930	3687	273
931	3689	269
932	3690	265
933	3692	260
934	3693	256
935	3694	252
